-0.899204916460509+1.00579492167792i,-0.0427116018917991+0.491584462760785i,0.485384437319427-0.617866688725145i,-0.242016078564361-0.00307289629557119i,0.499749015444146-0.0917361018368572i,0.6068348064476-0.243161320926158i,1.6309933906335-0.866814993783788i,-0.439678354023181+1.11122273888131i
0.516087785310913+0.660163031634664i,-0.0821572933379157+0.108618229007658i,-0.132590521157176+0.109264664132675i,-0.829415385989651-0.331581221709944i,-0.44788330212144-0.89241528760671i,-1.54453404034182+0.617609618327777i,0.708984078882431+0.00389644703992253i,0.99765360266692+0.860187139899163i
-0.989257065906505-0.0166080117101471i,-0.101690630350041-0.0953310881443129i,0.877819495982424-0.306895842998411i,0.177486784046111-0.360898340846163i,0.279097149505872-0.288877088414796i,-0.830457798729386+0.638218461628691i,0.347028950652294-0.448652784621273i,0.0221822270007179+1.65731659321781i
0.929765540451858-0.778297458277517i,0.759976841505045+0.58451568116949i,0.33409967477636+0.0264651488514015i,-0.187116158575806-0.167677525444861i,-0.578723481595501+0.580386171922548i,-1.10716573136788-0.643208153998861i,0.891205226670529+0.60692851328882i,0.130994856014656-1.85263621458295i
0.285547660846137-0.631948513834975i,1.2036294083342-1.39218412070824i,0.773908862961142-0.0770799912481495i,-0.575012710650967+0.302808048997714i,-0.962888292965225-0.0562388854978949i,-0.231893378010694-0.457551082211964i,-1.41761700192117-0.339960285629424i,0.246979605644904-0.234653782911032i
-0.243362273506639+0.244848991952981i,0.276645159414128+0.0872837263149014i,0.440294243428612+1.29543599126351i,0.0933499624624965+0.787512404957702i,-0.213629258040447+0.407571451841194i,0.34310328173694+0.457104246417238i,-0.215317633745368+1.05338206799592i,-0.444811130127486-0.23945006392864i
-0.693010082337702+0.173159036344125i,0.0900370185275224+0.185202978390266i,0.713636070722133-0.78265842372085i,-0.837675246841835-0.258064707605579i,1.13078711950445+1.2286299999311i,1.67213092437871+0.848353457812106i,-0.256823775063644-0.445046790163091i,0.769956565284743-1.00665334023311i
1.31334154140794-0.24860342628894i,1.59164859086677-1.25235350732115i,-0.0668196349915729-0.397063871246451i,0.240713682416934+1.29218745245099i,-0.277412913118959-0.301481317370188i,-0.00291822745984446-0.0186535273946364i,-0.0409304506683311-0.419986607537142i,1.66391894251947-0.368570016324703i
0.218876738878835+0.161969853532308i,-0.00755043758516753-0.11231695660491i,0.0814253317953279+0.185831879890484i,-1.1257800522151+0.617132716299217i,0.156149288058194-0.774864982752819i,-0.754934256828709+1.21052093693661i,0.75461263338484-0.444553819589255i,-1.75915754185646+1.00567074312781i
-0.345847854269739+0.399113998659475i,-0.318586382104483+0.444894360408801i,-0.444174067499856+1.31109171747697i,-1.73507269408464+0.862436114752695i,-0.419824755047236+1.10470238955683i,-0.320707441121025-0.0903674992614654i,-0.478304165417275+0.251907957239659i,0.139982798470008+0.0419268099110198i
-0.491356692170186-0.516872642903646i,-0.420763592402544-0.902105936982147i,0.274055118040433+0.181964182905862i,-0.14716347201144-0.693106468770458i,-1.44984674035958-0.309288450664282i,0.324011364137992+0.507741278955621i,0.178511617639488+0.922835007093372i,0.668471297951493+0.679236330444907i
-0.127556831879037-0.22610437596245i,-0.520196951225914-0.212160213537851i,2.17383918504661+0.785692429018628i,-0.694329279800548-1.29272373380499i,0.000302000325947252+0.225060851374065i,0.722554819056735+0.00238060336646596i,-1.3510457271949+0.258570884103557i,-0.56274126450411+1.15605398210198i
0.888326471771876-0.513116839654856i,0.0577671322371406+0.139193423023798i,0.0690039780175418+0.532182242684002i,1.0826647107798+0.231184628198805i,1.1975983977358-0.411509736798911i,-0.324614885329777+0.773540134187259i,-0.647255084630959+0.545941501736057i,0.0634533124516586-0.205251175296556i
1.35109977014725+0.947444644780303i,-0.608717796136471-0.369522719694222i,-0.0322402785088379+0.508371307173571i,0.97062405388338+0.243476985988559i,-0.234425911680057-1.10930601884841i,-0.00325965515719352-0.231280061981333i,0.664782863974678+0.88764952970689i,0.120627648515853-0.289643221040962i
0.0192283270964672-0.904172551121351i,-1.31409465368645+1.11240647073193i,0.606878408919666+0.910427556291804i,-0.432832722827746-1.20226689234029i,-0.813275019234568-0.669867180833657i,0.838530858429813-0.0221927150325254i,-1.23281521129163-0.0907464380664199i,-0.424087603976325-0.931344234010568i
0.302026120575926+1.14134154905787i,-0.908552232879624+0.54407290617562i,-1.10564542048299+1.62014395744931i,-0.683586304266585-1.05067137192532i,-0.700511047696268+0.927892148821145i,0.158207636409284-1.06653988443666i,1.00044708271527+0.670778000624088i,0.49961907560247-0.196078422477203i
0.22865346838259-0.402887297533843i,0.308441509295014-0.409244051657014i,0.797777920179056+0.104358386437645i,-0.153014654333908+0.248945547715998i,0.257521129273282-0.293549905600922i,0.0568458319136317+0.213726043244445i,-0.342311987052773-0.0880344648870131i,0.859028680376108-0.505364070617595i
-1.16599647882128-0.00143650405936292i,0.7716534700133+0.234492774756385i,-0.599323700858974-0.205075196720865i,-0.223504052104874+0.732881117550953i,-0.297219108680274-0.106195280393516i,-0.234100122088857+0.0634527535260651i,0.373187827771262+1.48488219221218i,0.15784443596819-0.155058216670726i
0.0992339426026297+0.677082387391032i,0.850368164740238+0.798193870358435i,0.401288162918996+0.132380456266579i,0.979567347412717+0.959081772750497i,0.695525563882296+0.212158718824543i,-0.271973197717128+0.373419750187336i,-0.831754193590675+0.184047056550197i,0.261390825659595-0.159511351643142i
-0.352169397052558+0.5216907226366i,1.63544155800652+0.175517450658269i,0.19558355853996-0.214381796049651i,-0.246281985975947-0.649309960312281i,-0.194995427285896+0.832136114657783i,0.748121494628427+0.239143150427524i,0.533730327224997-0.385712058110747i,-0.386434670879233-0.515031125772022i
-0.302481206793143-0.241402235330664i,-0.766489146820288+0.393803538875455i,-0.0473940031122817-1.63436727830317i,0.852424989302782+0.427532463672874i,-1.47468808172506+0.107761134058178i,-0.375940040164324-0.473291391206562i,-0.000997408574484624+0.0710158021156848i,0.790891654281782-0.809412961019046i
-0.106684271029685+0.628319052792273i,0.964871410247724+0.45476914870493i,-0.507192301731128-0.0819896641071137i,0.874863256596055+0.434336366801077i,-0.3107531107704-0.182779457127608i,-0.033425279524712+0.469545832581851i,0.886755184012148-0.518241450621047i,-0.0638309410869827-0.267065259343661i
-2.04411139509054-0.834190549785312i,0.057756639247699+0.522654670508639i,0.295083947067303+0.118680320294728i,1.78171360105323-0.0226805645862314i,0.503406621688506-0.602788085370684i,-0.731020667431165+1.84566010080582i,-0.386606696628741-1.07774258586633i,0.311591420038537+0.0103420755445445i
-0.519399672301026+0.976850194057396i,-0.330771984182227-0.935321673229516i,0.795183937061139-0.25901233906549i,-0.268311763908711-0.743784932785084i,0.725828219854438+0.412112473296258i,0.426912475593936-0.453583529654538i,-0.519974536218211+0.247332017610208i,0.830681993951782-0.63333523213204i
0.534724907819907+0.820557819547121i,-0.301495960311782-0.478565321882368i,0.482701664588664-0.153352833008549i,-0.336065608126747-0.780983140089311i,0.908585952022247-1.47665586157116i,0.176194130739747+0.659225285641111i,-0.534627779368576+0.164656134920666i,-0.210180526344452+0.249070850374093i
0.0854134380611928+0.0130903867783373i,0.629059612149575-0.24952942625503i,0.98718587560275+0.874151861406398i,1.18491675650171+0.523625627780535i,0.707616116849307-0.830837642953409i,0.31221858638198-0.408542499350345i,1.39632905512818+0.462448633713637i,-0.137308525327678-0.101913891440263i
-0.364800381198524+0.285594994486373i,0.459442647562176-1.12955265952541i,-0.981880804359274+0.058350502375903i,-0.52210572836443-1.18940106992978i,0.759002299817127+0.520660261868381i,-0.0190396982562634-0.642354217842001i,-0.233141184450498-0.597473082080413i,0.064033415427402-0.184311904074439i
-0.241023299598008+0.692616101801817i,-1.27716113638759-0.991282284592149i,0.0136206307450437-0.0211409664351236i,-1.28375446129552-0.208547203242911i,1.33928322416319+0.315984391896311i,-0.524742754272825-0.793947882802148i,-1.13774389797159-0.569302323972445i,-0.157907915652605+0.644692791963889i
-0.763669773853502-0.231744327988991i,0.724569772201914+0.252893611969423i,-0.95484410301928-0.467642214014632i,0.0613261811291166+0.099330948235427i,1.08500754144462-0.902862161841547i,-0.0603267907770069+0.406846506126966i,0.670738293715196-0.34701323523571i,-0.897268036461977+1.63071722794603i
-0.493128428794885+0.385661128881381i,0.583527329698261+0.253787397236149i,0.0810595401520863-0.394030892770152i,0.353735474451183+0.772845697237771i,0.124159870573634+0.379728242898729i,-0.908002193657146+0.0235071450481948i,0.0176440348776705-0.711144143011868i,0.341111273067483+0.599374422775469i
-0.412240928927606+0.485922817902947i,-0.167112147107791+0.653790174515001i,0.382991486324318-0.071349305905365i,-0.256666206512365-0.253957638060261i,-0.336666104194449+0.331964910324602i,-0.239423336778877+0.617798487931098i,-0.251639701766731+1.90307484316416i,-1.01931829345567+0.454451072015927i
-0.131610542010501+0.263009094955194i,-0.693859748900651+0.258516639596342i,-0.54282173758295+0.0904579226663607i,-0.247976725396484-0.984636814653339i,-0.19781213227988-0.837427599487804i,1.63142951090376-0.134359900388566i,0.365445115506194+0.262713872338915i,-0.215280783187316+0.00333757557502957i
0.415750940289172-1.0044679750747i,-0.544181057775931-0.542196941021076i,0.907094313831794+0.274788204498202i,-0.963722853045537+0.246101776915076i,0.496834688502051-0.0507539786768195i,1.18250396408109-0.831106640646081i,0.627542705147116-0.46183005299337i,-0.995883047184076+0.0917729228544217i
-0.014878514511405-0.237352043706708i,-0.874070867635352-0.011118242650421i,-0.335774165088999+1.15629100298733i,1.21820634193922-0.508876943271044i,0.854308618272176+1.13284801356479i,0.613610007046269-0.140253533576964i,-0.450553229126097+0.300041603732698i,0.920262886631831+0.411132581301668i
-0.0563997619982828-1.39741479641203i,-0.0355071595760021-0.506650286496985i,0.44083232050686+0.959236134933457i,0.14239161374408+1.25686838604986i,-0.175050862565824-0.348971897833331i,0.309758280348423-0.0521615524299923i,0.0784164094142694+0.869407773309757i,0.0603801917921773-0.391016107956314i
-0.59079817063912-0.270830002176929i,-0.274826951539974+0.613173195883947i,-0.24585916675791-0.846545860275404i,-0.387273044717769-0.613727695036809i,1.06961955940761-0.952858872457629i,0.584462899059572+0.433032293158334i,-0.219666194808502+0.479133282692214i,0.33867099293347-1.05539844537395i
0.69198889306963-0.558513809564233i,-0.220578503325615-1.06840328675775i,-0.53621612689753+1.24209586325008i,0.284124247296365+0.120918745604288i,-0.512615032561783+0.112256821900551i,0.275418636425966-0.855905504605865i,-0.408778435739112+0.648169179947847i,-0.18585386143608+0.303427904058943i
0.166508028119634-0.0679108054059222i,0.156528480199459+0.607720760849561i,-0.52125445645023-0.69685279728628i,0.590006368907771+1.44420571273137i,-0.329038796688999-0.396089209513943i,0.658846868255527-1.3032879534263i,0.336246715524746+0.33993839063468i,1.122065390189-0.496294384851198i
0.400256196632353+0.266866864689314i,-0.210240513151867+0.352207741865671i,-1.02603722696277+1.81812104205715i,-0.74125771366433+0.745368221260247i,-0.273615588822068-0.253643055308182i,0.852603228366105+0.324450028834254i,0.510083491206663-1.06571237838474i,-0.285658364846242+0.278399954914714i
0.155061625440975+0.586908885699505i,-1.20009789978078+0.546659760370209i,1.07533528085246+0.140917184268111i,0.15928514340524-0.0119612022504474i,-0.468069613970722+0.290029547193386i,-0.722138277652357-0.549101025024741i,-0.968833279329159-0.537325720076175i,0.814376971269032-0.587282067580668i
0.571137934370866-0.101234085763419i,-0.423351399128655-0.409144882010001i,-1.73045804150045-0.310227392913555i,-0.341086906814487+0.338821132622478i,0.615113099446184-0.0387729336911064i,-0.135049914192136-0.347029152876524i,0.784978707888044+0.749422011686394i,0.815382587399783-0.886299782922109i
1.06951791497128+0.0283856711294439i,-0.370062079439422+0.139393054217387i,-0.912200562530962-1.42927734099708i,1.16723201745632+1.69899742482732i,-0.132289710661175-0.269719833159168i,-0.0191985409160576+0.38917935527627i,0.105245614512896-0.140067211110907i,-0.371651833915673-0.992374952812092i
-0.305210920078706+0.716499502262237i,-1.21327421131661-0.0290156262287147i,-1.40330558476174-0.281414895273633i,0.112377476095084+0.990405038985297i,1.30923455185537-0.729541253512214i,-0.392528340653258+0.0129629377820678i,-0.166902405079032+0.183283111433608i,0.303602597933701+0.198768749899378i
0.383648266059186+0.916914643137897i,0.626268818028553-1.06833178062145i,-0.949606799033343+1.09046055479622i,-0.795272659442084-0.939320718507995i,-0.00433352252761546-0.580005317520407i,-0.702993957340317+0.116619156217263i,-1.12322577953213+0.392390880619071i,0.08951983967104+1.38206792274306i
0.480337560386066+0.153860641195036i,-1.53204963502035+0.342794095735767i,-1.97412806066678-0.291794988849123i,-0.078533737553374+0.130612654212914i,1.31965942378529-0.723731498974041i,0.899524877251022+0.837429068374821i,-0.181876285424395-0.722254193917832i,1.49552361133277+0.141731101800913i
-0.00619914222185674+0.609000311025438i,0.298488779734104+0.312961984146623i,0.425810044771093-0.318778270384322i,0.317526992178011+0.752966169484178i,-1.71824715315578-0.427916095939679i,0.47221534234201+0.753709323636056i,-0.0491861851484217+0.134430042955492i,-0.703019370250687+0.346838364156033i
1.35194667065598-0.516117945123273i,-0.208461511523039-0.525454615217319i,0.0285973106537405-0.928438260773861i,1.4853367493745-1.08530252041126i,0.255843086835385+1.24487743762669i,-0.644015897111072+0.00254029782964875i,0.0733970044914308-0.307441782552052i,-1.12044506397922+0.10168834330843i
-0.691985907028335+1.12120380105993i,-0.257564583313555+0.876832968099545i,-0.728968877834532-0.830087619879895i,0.0279784249942937+0.204121275362273i,0.200453090513978+0.104407335651559i,-0.744355774119371-0.375948719144304i,-0.308652922047412-1.04239323897896i,0.219804617490411+0.162702361100849i
-0.34374525579786-0.468650968470177i,0.45796195723522-1.24813014767954i,-0.919928657447252-0.409192951016793i,0.404162848036913-0.0481990326403433i,1.36838523889733-0.388452301766784i,0.302075517303066-0.844135739892281i,0.654848054149067+0.278057699146097i,-0.685616676548799+1.67264347632291i
0.0550821697845147-0.542728818038125i,-0.214629682909059-0.290616748262189i,-0.931951912090204+0.254579839499974i,0.849041604070297+0.20391061085533i,0.18506681343684-0.0904138239976938i,-0.487082260649614+0.223279325517211i,1.10876360010269-0.59685554184517i,-0.416591357263489-0.55244005234219i
0.0185269069763551+0.380511349619156i,-0.160398640720517-0.276358625661595i,-0.196897729625125-1.45825533136294i,0.359756111386766-0.56927469626594i,1.25805719774175+0.17347320825163i,-0.847325510910959+1.63559261190762i,0.879378998226983-0.35555764541816i,0.234358786635365-0.112351682617606i
-0.157531987891226-0.0461970897065275i,-0.616300718252019-0.504673826944054i,-1.42983566613111+0.47189101430433i,-0.615014403679342-1.29187354621544i,1.3383663553201+0.195214000974691i,-0.17497919600631+0.740396277228769i,-0.163022954008888-0.946971435504083i,-0.917862165940721-0.476384451630588i
-0.339203011445712-1.12181861722326i,0.796032176948625-0.469479798137582i,0.287601429887345-0.34019848880266i,-0.113889838540865-0.758324361985211i,-0.438629488505698+0.225367596644039i,-0.597316936024538+0.159068847890623i,0.237307738382222-0.426359710755244i,0.757808068498229+0.504908319937268i
0.583071281385513+0.761884820721421i,0.70118036993236+0.341565795333138i,-0.0635166100559172+0.568745884876685i,-0.465152480336534+1.32574898202716i,-0.841921390685018+0.771128179770212i,0.600770156137603-0.776325550769122i,0.287595370425834+0.310796357933283i,0.297979482313717+0.180446039818383i
